,Solid_Volume_Fraction,Average_Pore_Size,Pore_Size_Std,Average_Sphere_Radius,Sphere_Radius_Std,Particle_Radius,Particle_Rate,Atom_Atom_CohesiveEnergy,Atom_Wall_CohesiveEnergy,Thickness,Fluid_Velocity,Umedian,Umean,Skew,Kurt,Mean_Min_Dist10,Mean_Min_Dist25,Mean_Min_Dist33,Mean_Min_Dist50,Mean_Min_Dist66,Mean_Min_Dist75,Mean_Min_Dist100,Names,EndTime,Clogged?
0,0.659902283,0.002754892,0.001500247,0.010566679,0.008122695,0.00156,1000,0,0,0.0025,0.01,0.00047788,0.01271144,8.30020237,75.33283713,0.003220348,0.003375806,0.003467821,0.003683737,0.003925163,0.004096658,0.006288501,R1D0.25d.3125Case,500000,TRUE
0,0.666019722,0.001149445,0.001036552,0.008159012,0.006387558,0.00016,1000,0,0,0.001,0.01,0.08587676,0.20048058,1.924474239,5.784640939,0.001627932,0.004484938,0.005960752,0.008759301,0.011396885,0.013058535,0.023642147,R0.5D0.1d.033Case,500000,FALSE
0,0.510392146,0.005254886,0.002417453,0.008697051,0.006816888,0.00187,1000,0,0,0.005,0.01,0.000610896,0.028721139,5.622772217,34.67430907,0.004417297,0.004827411,0.005001049,0.005392542,0.005893637,0.006295838,0.012246149,R0.5D0.5d.375Case,370000,TRUE
0,0.547717562,0.005352062,0.002037318,0.010647855,0.008185806,0.00125,1000,0,0,0.005,0.01,0.29633263,0.32727098,0.536965191,-0.486133481,0.004227838,0.006962433,0.008264542,0.010816576,0.013327647,0.014935022,0.025831922,R1D0.5d.25Case,500000,FALSE
0,0.510392146,0.005254886,0.002417453,0.008697051,0.006816888,0.00312,1000,0,0,0.005,0.01,0.001361074,0.010507578,7.169431686,64.41856421,0.006509579,0.006782452,0.006936633,0.007314305,0.007750862,0.008067817,0.010952947,R0.5D0.5d.625Case,500000,TRUE
0,0.666019722,0.001149445,0.001036552,0.008159012,0.006387558,0.0005,1000,0,0,0.001,0.01,0.00054053,0.07784562,2.590469122,6.511440429,0.001401311,0.001583338,0.001696753,0.002071606,0.003060047,0.004174773,0.012294485,R0.5D0.1d.1Case,500000,TRUE
0,0.477321349,0.00517395,0.001522441,0.007411181,0.006130611,0.00165,1000,0,0,0.005,0.01,0.00029094,0.06352116,3.118698359,10.14757107,0.004289627,0.004644746,0.004840681,0.005369419,0.006143196,0.0068685,0.015670771,R0.1D0.5d.330Case,391000,TRUE
0,0.621722944,0.00106842,0.000649468,0.007504136,0.006019349,0.00025,1000,0,0,0.001,0.01,0.06957594,0.1591996,1.548297763,1.947844601,0.00094424,0.002283589,0.003254957,0.005310261,0.007300306,0.008558568,0.016799662,R0.1D0.1d.05Case,500000,FALSE
0,0.659902283,0.002754892,0.001500247,0.010566679,0.008122695,0.00082,1000,0,0,0.0025,0.01,0.000899135,0.10526919,2.22486639,4.43303091,0.002161618,0.002386526,0.002523242,0.00294456,0.003846905,0.004903478,0.013318484,R1D0.25d.1650Case,500000,TRUE
0,0.564020022,0.002660207,0.001157669,0.008335347,0.006310623,0.00156,1000,0,0,0.0025,0.01,0.000675661,0.012919224,8.515171051,80.17655357,0.003238064,0.003394199,0.003484245,0.003694431,0.003933363,0.004104562,0.006330563,R0.5D0.25d.3125Case,500000,TRUE
0,0.574322119,0.00262056,0.000983163,0.007460752,0.006092333,0.00125,1000,0,0,0.0025,0.01,0.000438581,0.033592172,5.018717289,27.48176708,0.003326603,0.003591242,0.003731107,0.004099089,0.004606242,0.005063843,0.012365745,R0.1D0.25d.25Case,400000,TRUE
0,0.678587362,0.001338123,0.00238272,0.011168126,0.008227126,0.00025,1000,0,0,0.001,0.01,0.07840663,0.18617654,1.462813139,1.554857836,0.000867302,0.001891726,0.002727086,0.004657968,0.006648349,0.007962129,0.016448371,R1D0.1d.05Case,500000,FALSE
0,0.574322119,0.00262056,0.000983163,0.007460752,0.006092333,0.00031,1000,0,0,0.0025,0.01,0.117828846,0.1944202,1.41009891,1.527436204,0.001701623,0.003985772,0.005031236,0.007126881,0.009143419,0.010438862,0.019009747,R0.1D0.25d.0625Case,500000,FALSE
0,0.666019722,0.001149445,0.001036552,0.008159012,0.006387558,0.00012,1000,0,0,0.001,0.01,0.392351,0.6862275,11.72310829,158.8282094,0.018753025,0.022050258,0.023198958,0.026210581,0.029294148,0.031162883,0.047626932,R0.5D0.1d.025Case,500000,FALSE
0,0.574322119,0.00262056,0.000983163,0.007460752,0.006092333,0.00041,1000,0,0,0.0025,0.01,0.14297427,0.21331832,1.226090193,1.049901185,0.002987558,0.005325677,0.0063234,0.008275746,0.010146293,0.011363083,0.019928277,R0.1D0.25d.0825Case,500000,FALSE
0,0.547717562,0.005352062,0.002037318,0.010647855,0.008185806,0.00062,1000,0,0,0.005,0.01,0.23745035,0.29663208,0.968560517,0.39832576,0.00412062,0.00634365,0.007291654,0.00925267,0.011295999,0.012658871,0.0224747,R1D0.5d.125Case,500000,FALSE
0,0.659902283,0.002754892,0.001500247,0.010566679,0.008122695,0.00125,1000,0,0,0.0025,0.01,0.000435823,0.02822768,5.518924236,32.8867251,0.003395743,0.003639774,0.003777381,0.004138486,0.004630899,0.005059016,0.011757046,R1D0.25d.25Case,383000,TRUE
0,0.666019722,0.001149445,0.001036552,0.008159012,0.006387558,0.00025,1000,0,0,0.001,0.01,0.046790674,0.14265917,1.713446021,2.644229634,0.000783888,0.001610448,0.002526939,0.004676041,0.006755099,0.008044756,0.016423382,R0.5D0.1d.05Case,500000,FALSE
0,0.564020022,0.002660207,0.001157669,0.008335347,0.006310623,0.00082,1000,0,0,0.0025,0.01,0.002101885,0.13029872,1.714857459,2.182048443,0.002182685,0.00245799,0.002633208,0.003268453,0.004841755,0.006137907,0.014772702,R0.5D0.25d.1650Case,500000,TRUE
0,0.547717562,0.005352062,0.002037318,0.010647855,0.008185806,0.00165,1000,0,0,0.005,0.01,9.89E-05,0.035949238,4.664302826,22.99294889,0.004189933,0.00448346,0.004648901,0.005042528,0.005582389,0.006047191,0.012930764,R1D0.5d.330Case,409000,TRUE
0,0.547717562,0.005352062,0.002037318,0.010647855,0.008185806,0.00312,1000,0,0,0.005,0.01,0.001361074,0.010507578,7.169431686,64.41856421,0.006507464,0.006780243,0.006937301,0.007326034,0.007759987,0.008063804,0.010964642,R1D0.5d.625Case,500000,TRUE
0,0.621722944,0.00106842,0.000649468,0.007504136,0.006019349,0.00033,1000,0,0,0.001,0.01,0.001805253,0.110068716,2.105340481,4.176816668,0.000895108,0.001042276,0.001157844,0.001806882,0.003615718,0.004995885,0.013504072,R0.1D0.1d.066Case,500000,TRUE
0,0.574322119,0.00262056,0.000983163,0.007460752,0.006092333,0.00062,1000,0,0,0.0025,0.01,0.18201207,0.2416476,1.073999047,0.74472864,0.003800134,0.006296189,0.007330655,0.009390658,0.011369331,0.012639502,0.021854977,R0.1D0.25d.125Case,500000,FALSE
0,0.477321349,0.00517395,0.001522441,0.007411181,0.006130611,0.0025,1000,0,0,0.005,0.01,0.001175463,0.023835186,6.035139561,41.60951969,0.005397673,0.005826996,0.00605629,0.006534211,0.00710677,0.007573138,0.013985491,R0.1D0.5d.5Case,395000,TRUE
0,0.659902283,0.002754892,0.001500247,0.010566679,0.008122695,0.00041,1000,0,0,0.0025,0.01,0.14322029,0.21567455,1.316592097,1.337877861,0.001834129,0.003708084,0.004667008,0.00665029,0.008696197,0.010002425,0.018944568,R1D0.25d.0825Case,500000,FALSE
0,0.547717562,0.005352062,0.002037318,0.010647855,0.008185806,0.00082,1000,0,0,0.005,0.01,0.27745512,0.32490212,0.732198119,-0.147866854,0.00512659,0.007397078,0.008436129,0.010538621,0.012710985,0.014175386,0.024626731,R1D0.5d.165Case,500000,FALSE
0,0.564020022,0.002660207,0.001157669,0.008335347,0.006310623,0.00125,1000,0,0,0.0025,0.01,0.000712827,0.03273278,4.951503277,26.58398549,0.003359951,0.003608038,0.003759884,0.004156771,0.004705628,0.005193374,0.012538107,R0.5D0.25d.25Case,391000,TRUE
0,0.659902283,0.002754892,0.001500247,0.010566679,0.008122695,0.00062,1000,0,0,0.0025,0.01,0.15933475,0.23293309,1.155302882,0.832796269,0.002121969,0.003983372,0.005067286,0.007270068,0.00941994,0.010805257,0.020011521,R1D0.25d.125Case,500000,FALSE
0,0.564020022,0.002660207,0.001157669,0.008335347,0.006310623,0.00041,1000,0,0,0.0025,0.01,0.14013568,0.208874,1.254358649,1.109730988,0.002045436,0.004431382,0.005523846,0.007608267,0.009604456,0.010858466,0.019497094,R0.5D0.25d.0825Case,500000,FALSE
0,0.621722944,0.00106842,0.000649468,0.007504136,0.006019349,0.00037,1000,0,0,0.001,0.01,0.009271628,0.11819891,2.057526588,4.121939363,0.001053221,0.001253858,0.00141495,0.002271436,0.00426524,0.005683733,0.014283116,R0.1D0.1d.075Case,500000,TRUE
0,0.510392146,0.005254886,0.002417453,0.008697051,0.006816888,0.00125,1000,0,0,0.005,0.01,0.31725836,0.34706938,0.472260565,-0.417358794,0.007612499,0.009973,0.011020397,0.013144711,0.015258646,0.016733336,0.027727884,R0.5D0.5d.25Case,500000,FALSE
0,0.547717562,0.005352062,0.002037318,0.010647855,0.008185806,0.0025,1000,0,0,0.005,0.01,0.001093351,0.01908568,6.536281109,48.29724939,0.00535138,0.005720829,0.005932571,0.006397475,0.00693563,0.007357893,0.012624611,R1D0.5d.5Case,429000,TRUE
0,0.564020022,0.002660207,0.001157669,0.008335347,0.006310623,0.00031,1000,0,0,0.0025,0.01,0.11704051,0.19365713,1.346283436,1.370191289,0.001402999,0.003575861,0.004665401,0.006776596,0.008749403,0.010015169,0.018702887,R0.5D0.25d.0625Case,500000,FALSE
0,0.510392146,0.005254886,0.002417453,0.008697051,0.006816888,0.00082,1000,0,0,0.005,0.01,0.27916345,0.3261585,0.741140783,-0.050608149,0.006342135,0.008754239,0.009759047,0.011769375,0.013833555,0.015195147,0.025394924,R0.5D0.5d.165Case,500000,FALSE
0,0.621722944,0.00106842,0.000649468,0.007504136,0.006019349,0.00016,1000,0,0,0.001,0.01,0.09992106,0.25870526,46.14358521,2214.337768,0.001713762,0.004722232,0.00615898,0.008914225,0.011502389,0.013123605,0.023460804,R0.1D0.1d.033Case,500000,FALSE
0,0.564020022,0.002660207,0.001157669,0.008335347,0.006310623,0.00093,1000,0,0,0.0025,0.01,0.000645649,0.094243325,2.36101675,5.185208609,0.002544001,0.002811752,0.002975257,0.003447463,0.004359442,0.005316754,0.013401269,R0.5D0.25d.1875Case,490000,TRUE
0,0.678587362,0.001338123,0.00238272,0.011168126,0.008227126,0.0005,1000,0,0,0.001,0.01,0.003017226,0.09807147,24.13977242,1082.678151,0.001376757,0.001517955,0.001611011,0.001885724,0.002507451,0.00337642,0.011463064,R1D0.1d.1Case,500000,TRUE
0,0.510392146,0.005254886,0.002417453,0.008697051,0.006816888,0.00062,1000,0,0,0.005,0.01,0.23618788,0.29406193,0.998031259,0.502486602,0.005915674,0.008137131,0.009064411,0.010908929,0.012834101,0.014149182,0.024064826,R0.5D0.5d.125Case,500000,FALSE
0,0.510392146,0.005254886,0.002417453,0.008697051,0.006816888,0.00165,1000,0,0,0.005,0.01,0.000389234,0.050139833,3.741075516,15.12309978,0.004214968,0.004516227,0.004674396,0.005107165,0.005722102,0.006274393,0.013985409,R0.5D0.5d.330Case,385000,TRUE
0,0.510392146,0.005254886,0.002417453,0.008697051,0.006816888,0.0025,1000,0,0,0.005,0.01,0.000798221,0.013446984,7.506911755,63.16359589,0.005316886,0.005666996,0.005873732,0.00630544,0.006807471,0.007183835,0.012463544,R0.5D0.5d.5Case,437000,TRUE
0,0.678587362,0.001338123,0.00238272,0.011168126,0.008227126,0.00062,1000,0,0,0.001,0.01,0.000296793,0.017402433,7.283925056,57.40964144,0.001324177,0.001415105,0.001462701,0.001562629,0.001673237,0.001756535,0.003883486,R1D0.1d.125Case,500000,TRUE
0,0.477321349,0.00517395,0.001522441,0.007411181,0.006130611,0.00125,1000,0,0,0.005,0.01,0.30442297,0.33412778,0.581993878,-0.050149677,0.008520161,0.010832793,0.011790871,0.013750326,0.015751343,0.017139225,0.027561457,R0.1D0.5d.25Case,500000,FALSE
0,0.659902283,0.002754892,0.001500247,0.010566679,0.008122695,0.00093,1000,0,0,0.0025,0.01,0.000122483,0.07589934,2.753537178,7.275894111,0.002508693,0.002728308,0.0028584,0.003216267,0.003834869,0.004549161,0.012800672,R1D0.25d.1875Case,466000,TRUE
0,0.621722944,0.00106842,0.000649468,0.007504136,0.006019349,0.0005,1000,0,0,0.001,0.01,0.001445952,0.110168,1.981858134,3.353365599,0.001438182,0.001682407,0.001846169,0.002492707,0.003960853,0.005146032,0.013419913,R0.1D0.1d.1Case,500000,TRUE
0,0.678587362,0.001338123,0.00238272,0.011168126,0.008227126,0.00033,1000,0,0,0.001,0.01,0.014038583,0.14495617,1.804329634,2.72193599,0.000926566,0.001135413,0.001339178,0.002584128,0.004621311,0.005985215,0.014610611,R1D0.1d.066Case,500000,TRUE
0,0.477321349,0.00517395,0.001522441,0.007411181,0.006130611,0.00312,1000,0,0,0.005,0.01,0.001361074,0.010507578,7.169431686,64.41856421,0.006504973,0.006773279,0.00692708,0.007308567,0.007759231,0.008075241,0.010802074,R0.1D0.5d.625Case,500000,TRUE
0,0.477321349,0.00517395,0.001522441,0.007411181,0.006130611,0.00187,1000,0,0,0.005,0.01,0.000634908,0.040944688,4.158982277,18.44979044,0.004592337,0.004994704,0.00517802,0.005632628,0.006237693,0.006748997,0.014030521,R0.1D0.5d.375Case,350000,TRUE
0,0.621722944,0.00106842,0.000649468,0.007504136,0.006019349,0.00062,1000,0,0,0.001,0.01,0.000296793,0.017402433,7.283925056,57.40964144,0.001319771,0.001410319,0.001458958,0.00156131,0.001674004,0.00175914,0.004007137,R0.1D0.1d.125Case,500000,TRUE
0,0.659902283,0.002754892,0.001500247,0.010566679,0.008122695,0.00031,1000,0,0,0.0025,0.01,0.11603069,0.1984086,1.324290037,1.202951871,0.001193745,0.002800407,0.003750642,0.005792893,0.007873584,0.009223202,0.018138258,R1D0.25d.0625Case,500000,FALSE
0,0.477321349,0.00517395,0.001522441,0.007411181,0.006130611,0.00062,1000,0,0,0.005,0.01,0.23380312,0.29386348,0.986816943,0.50140338,0.006215151,0.008493058,0.009406487,0.011229529,0.01311597,0.014391883,0.023583397,R0.1D0.5d.125Case,500000,FALSE
0,0.666019722,0.001149445,0.001036552,0.008159012,0.006387558,0.00062,1000,0,0,0.001,0.01,0.000296793,0.017402433,7.283925056,57.40964144,0.00132441,0.001413577,0.001460924,0.001559065,0.001673364,0.001760524,0.003863589,R0.5D0.1d.125Case,500000,TRUE
0,0.678587362,0.001338123,0.00238272,0.011168126,0.008227126,0.00037,1000,0,0,0.001,0.01,0.001434171,0.11604271,2.207358837,4.639759387,0.001027177,0.001174839,0.00127912,0.001697173,0.003030872,0.004277285,0.012763141,R1D0.1d.075Case,500000,TRUE
0,0.574322119,0.00262056,0.000983163,0.007460752,0.006092333,0.00082,1000,0,0,0.0025,0.01,0.00477383,0.13422677,1.689465761,2.102629666,0.002247638,0.00258376,0.002821125,0.00378011,0.005712134,0.007162119,0.016384478,R0.1D0.25d.1650Case,500000,TRUE
0,0.666019722,0.001149445,0.001036552,0.008159012,0.006387558,0.00033,1000,0,0,0.001,0.01,0.003243566,0.11684911,2.014243364,3.910558152,0.000920995,0.001122062,0.001300928,0.002441268,0.004402841,0.005746429,0.014120924,R0.5D0.1d.066Case,500000,TRUE
0,0.678587362,0.001338123,0.00238272,0.011168126,0.008227126,0.00016,1000,0,0,0.001,0.01,0.1362717,0.24698775,1.76195395,4.949171337,0.002143573,0.004977055,0.006385807,0.009276274,0.012004912,0.013719702,0.024923942,R1D0.1d.033Case,500000,FALSE
0,0.621722944,0.00106842,0.000649468,0.007504136,0.006019349,0.00012,1000,0,0,0.001,0.01,0.392351,0.7411329,10.50757694,131.226913,0.019534,0.02299241,0.024268963,0.026777789,0.029872077,0.032131406,0.048643853,R0.1D0.1d.025Case,500000,FALSE
0,0.678587362,0.001338123,0.00238272,0.011168126,0.008227126,0.00012,1000,0,0,0.001,0.01,0.392351,0.7264146,11.40413189,151.1848504,0.018209758,0.021743914,0.023082369,0.025872909,0.028843819,0.031037531,0.047403956,R1D0.1d.025Case,500000,FALSE
0,0.477321349,0.00517395,0.001522441,0.007411181,0.006130611,0.00082,1000,0,0,0.005,0.01,0.25980812,0.31096426,0.874883711,0.388508895,0.006596325,0.008998446,0.010006474,0.011978116,0.014017765,0.015368484,0.025041391,R0.1D0.5d.165Case,500000,FALSE
0,0.574322119,0.00262056,0.000983163,0.007460752,0.006092333,0.00156,1000,0,0,0.0025,0.01,0.000675661,0.012919224,8.515171051,80.17655357,0.003234557,0.003389897,0.003479791,0.003693806,0.003933882,0.004106636,0.006297351,R0.1D0.25d.3125Case,500000,TRUE
0,0.666019722,0.001149445,0.001036552,0.008159012,0.006387558,0.00037,1000,0,0,0.001,0.01,0.002201127,0.11090652,2.10401535,4.372102694,0.001065557,0.001283366,0.001463368,0.002395335,0.004341782,0.005716443,0.014246479,R0.5D0.1d.075Case,500000,TRUE
0,0.547717562,0.005352062,0.002037318,0.010647855,0.008185806,0.00187,1000,0,0,0.005,0.01,0.000721464,0.034648944,5.139546394,28.94683288,0.004424209,0.004832814,0.005010819,0.005432825,0.005966171,0.006394826,0.012888325,R1D0.5d.375Case,371000,TRUE
0,0.574322119,0.00262056,0.000983163,0.007460752,0.006092333,0.00093,1000,0,0,0.0025,0.01,0.000207326,0.0835249,2.465155125,5.830569759,0.002542015,0.002796148,0.002952076,0.003389176,0.004215181,0.005161722,0.013765636,R0.1D0.25d.1875Case,472000,TRUE
0,0.564020022,0.002660207,0.001157669,0.008335347,0.006310623,0.00062,1000,0,0,0.0025,0.01,0.18541057,0.24119723,0.971717656,0.335070875,0.003218499,0.005886601,0.006963139,0.008991892,0.010946556,0.012233894,0.021394233,R0.5D0.25d.125Case,500000,FALSE